Nº MPAL;ÁREA DE GOBIERNO;DIRECCIÓN GENERAL O SERVICIO DE ADSCRIPCIÓN;TIPO DE USO;TIPO VEHICULO;RELACIÓN CONTRACTUAL;ENERGÍA/COMBUSTIBLE;CLASIFICACIÓN IDAE
2212;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;DIESEL;B
2213;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;DIESEL;B
2214;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA;C
2215;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA;C
2216;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA;C
2220;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
2221;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
2222;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
2223;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
2224;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
2225;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
2226;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
2227;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
2228;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;S.G.T. DE SALUD,  SEGURIDAD Y EMERGENCIAS;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
2229;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;S.G.T. DE SALUD,  SEGURIDAD Y EMERGENCIAS;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
2230;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;S.G.T. DE SALUD,  SEGURIDAD Y EMERGENCIAS;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
2231;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;S.G.T. DE SALUD,  SEGURIDAD Y EMERGENCIAS;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
2232;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;S.G.T. DE SALUD,  SEGURIDAD Y EMERGENCIAS;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
2233;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;S.G.T. DE SALUD,  SEGURIDAD Y EMERGENCIAS;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
2234;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;S.G.T. DE SALUD,  SEGURIDAD Y EMERGENCIAS;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
2235;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;S.G.T. DE SALUD,  SEGURIDAD Y EMERGENCIAS;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
2281;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2282;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2283;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2284;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2285;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2286;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2287;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2288;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2289;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2290;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2291;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2292;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2293;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2294;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2295;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2296;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2300;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA/HIBRIDO;ECO
2301;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA/HIBRIDO;ECO
2302;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA/HIBRIDO;ECO
2303;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA/HIBRIDO;ECO
2304;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA/HIBRIDO;ECO
2305;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA/HIBRIDO;ECO
2306;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA/HIBRIDO;ECO
2307;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA/HIBRIDO;ECO
2308;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA/HIBRIDO;ECO
2309;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA/HIBRIDO;ECO
2310;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA/HIBRIDO;ECO
2311;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA/HIBRIDO;ECO
2312;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA/HIBRIDO;ECO
2313;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA/HIBRIDO;ECO
2399;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2405;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL;SIN DISTINTIVO
2416;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SOSTENIBILIDAD Y CONTROL AMBIENTAL;OPERATIVO;TURISMO;PROPIEDAD;DIESEL;SIN DISTINTIVO
2417;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTIÓN DEL AGUA Y ZONAS VERDES;OPERATIVO;TURISMO;PROPIEDAD;DIESEL;SIN DISTINTIVO
2418;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTIÓN DEL AGUA Y ZONAS VERDES;OPERATIVO;TURISMO;PROPIEDAD;DIESEL;SIN DISTINTIVO
2437;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2438;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2439;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2440;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2441;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2442;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2443;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2444;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2445;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2446;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2447;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2448;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2449;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;C
2450;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2451;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2452;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2453;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2454;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2455;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2456;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2457;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2458;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2459;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2460;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2461;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2462;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2463;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2464;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2465;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2466;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2467;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2468;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2469;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2470;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2471;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2472;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2473;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;GASOLINA / GLP;ECO
2474;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;GASOLINA / GLP;ECO
2475;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;GASOLINA / GLP;ECO
2476;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;GASOLINA / GLP;ECO
2477;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;GASOLINA / GLP;ECO
2478;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;GASOLINA / GLP;ECO
2479;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;GASOLINA / GLP;ECO
2480;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;GASOLINA / GLP;ECO
2481;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;GASOLINA / GLP;ECO
2482;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;GASOLINA / GLP;ECO
2483;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;GASOLINA / GLP;ECO
2484;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;GASOLINA / GLP;ECO
2485;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;GASOLINA / GLP;ECO
2486;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;GASOLINA / GLP;ECO
2487;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2488;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;turismo;RENTING;ELÉCTRICO;0 EMISIONES
2548;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2550;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2554;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2555;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2570;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2580;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2581;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2582;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2583;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2584;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2585;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2586;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2588;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2589;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2592;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2595;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2596;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
