Nº MPAL;ÁREA DE GOBIERNO;DIRECCIÓN GENERAL/DISTRITO/OO.AA  de ADSCRIPCIÓN (esta casilla sólo se muestra a efectos internos, sin que esté prevista su visualización en el Portal de Datos Abiertos);TIPO DE USO;TIPO VEHICULO;RÉGIMEN JURÍDICO ;ENERGÍA/COMBUSTIBLE
556;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;ORGANISMO AUTONOMO AGENCIA DE ACTIVIDADES;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA
8187;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
2115;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;DIESEL
228;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;SECRETARIA SERVICIOS COMUNES Y FONDOS EUROPEOS;INCIDENCIAS;FURGONETA;PROPIEDAD;GASOLINA
2908;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;CAMIÓN;PROPIEDAD;DIESEL
8019;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL
3318;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
3311;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
1346;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL
5307;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;DIESEL
5300;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;DIESEL
141;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;ORGANISMO AUTONOMO AGENCIA DE ACTIVIDADES;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA / HIBRIDO
127;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;J.M.D. USERA;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA / HIBRIDO
2726;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
8505;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
2263;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;FURGONETA;RENTING;DIESEL
2256;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;FURGONETA;RENTING;DIESEL
6955;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;RENTING;GASOLINA
4034;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN;CEDIDO A;DIESEL
1678;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;FURGONETA;RENTING;DIESEL
4597;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SOSTENIBILIDAD Y CONTROL AMBIENTAL;OPERATIVO;TURISMO;RENTING;GASOLINA
3990;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
3981;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
4237;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN;CEDIDO A;DIESEL
3434;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
1389;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;PROPIEDAD;DIESEL
3376;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
1341;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;PROPIEDAD;DIESEL
4017;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN;CEDIDO A;DIESEL
3799;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
1212;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;PROPIEDAD;DIESEL
6814;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;RENTING;GASOLINA
6400;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;RENTING;DIESEL
2253;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;FURGONETA;RENTING;DIESEL
1507;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL
3213;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
3315;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
3714;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
1550;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL
8960;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
137;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;S.G.T. EQUIDAD, DERECHOS SOCIALES Y EMPLEO;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA / HIBRIDO
4031;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN;CEDIDO A;DIESEL
559;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;ORGANISMO AUTONOMO AGENCIA DE ACTIVIDADES;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA
2931;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;CAMIÓN;PROPIEDAD;DIESEL
6801;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;RENTING;GASOLINA
6190;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
6337;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
4316;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
1306;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;EXPOSICIÓN;CAMIÓN;PROPIEDAD;DIESEL
3435;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
3212;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
5085;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA
3932;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
3140;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
1054;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;TURISMO;RENTING;DIESEL
4203;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA
2250;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;FURGONETA;RENTING;DIESEL
8848;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;TODO TERRENO;RENTING;DIESEL
B 2422;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;CEDIDOS - EMPRESA MUNICIPAL DE TRANSPORTES DE MADRID,S .A.;OPERATIVO;AUTOBUS;CEDIDO A;DIESEL
6107;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
6110;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
3982;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
5203;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA ;PROPIEDAD;DIESEL
6083;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
1106;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;PROPIEDAD;DIESEL
5309;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;DIESEL
8484;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
8478;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
3292;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
3132;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
2750;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
4353;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
109;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;J.M.D. BARAJAS;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA / HIBRIDO
4352;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
8523;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
2026;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;DIESEL
3228;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
8514;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
3288;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
6265;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;DIESEL
2020;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA
2580;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
3243;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
8470;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
6045;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
2449;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
4302;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
4876;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTIÓN DEL AGUA Y ZONAS VERDES;OPERATIVO;VEHÍCULO ESPECIAL;PROPIEDAD;DIESEL
5070;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA
3703;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
2812;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL
3783;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
2258;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;FURGONETA;RENTING;DIESEL
3793;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
8488;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
M1350;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;EXPOSICIÓN;AUTOBUS;PROPIEDAD;DIESEL
4346;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
3257;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
6960;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;RENTING;GASOLINA
6183;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
144;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;S.G.T. DESARROLLO URBANO SOSTENIBLE;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA / HIBRIDO
3323;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
3780;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
8302;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL
5116;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA
1558;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL
4704;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. PARQUE TECNOLÓGICO DE VALDEMINGOMEZ;OPERATIVO;TURISMO;RENTING;GASOLINA
